Id,Start time,Completion time,Email,Name,TIÊU ĐỀ CỦA SÁCH?(Ví dụ: Nhà Giả Kim),TÊN TÁC GIẢ?(Ví dụ: Paulo Coelho),CHỦ ĐỀ?,NHÀ XUẤT BẢN?(Ví dụ: NXB văn học)
172,8/29/2025 13:59,8/29/2025 14:00,anonymous,,Xuất Khẩu Cười,Lê Hoàng ,Văn học - Tiểu thuyết,NXB Thanh Niên
173,8/29/2025 13:57,8/29/2025 14:01,anonymous,,Lần đầu làm sếp,Loren B.Belker & Gary S.Topchik,Kinh tế - Quản trị,NXB Lao động xã hội
174,8/29/2025 14:00,8/29/2025 14:01,anonymous,,Hayx theo trái tim của bạn ,Andrew Matthews ,Tâm lý - Giáo dục,NXB Đà Nẵng
175,8/29/2025 14:00,8/29/2025 14:01,anonymous,,SOUND ADVICE: A BASIS FOR LEARNING,STACY A.HAGEN,Ngoại ngữ,NXB TPHCM
176,8/29/2025 14:00,8/29/2025 14:01,anonymous,,những mẫu chuyển lịch sử văn minh thế giới,đặng đức an,Tâm lý - Giáo dục,nxb giáo dục
177,8/29/2025 13:59,8/29/2025 14:01,anonymous,,Tuyển tập chúng ta 10 năm ,FPT Software,Other,FPT Software
178,8/29/2025 14:00,8/29/2025 14:01,anonymous,,Kim cương trong mỏ vàng - Go for Gold,John C.Maxwell,Kinh tế - Quản trị,NXB lao động - xã hội
179,8/29/2025 14:01,8/29/2025 14:01,anonymous,,Cảm nhận thế nào đời cho thế đó ,Andrew Matthews ,Tâm lý - Giáo dục,NXB Trẻ
180,8/29/2025 14:01,8/29/2025 14:01,anonymous,,Tuyển tập chúng ta 10 năm ,FPT Software,Other,FPT Software
181,8/29/2025 14:00,8/29/2025 14:01,anonymous,,Không Ai Qua Sông,Nguyễn Ngọc Tư,Văn học - Tiểu thuyết,NXB Trẻ
182,8/29/2025 14:01,8/29/2025 14:02,anonymous,,Bắt trẻ đồng xanh,J.D.Salinger,Văn học - Tiểu thuyết,NXB Văn Học
183,8/29/2025 14:01,8/29/2025 14:02,anonymous,,Phép màu điện ảnh,Anne Cottringer,Nghệ thuật - Giải trí,NXB Thế giới
184,8/29/2025 14:01,8/29/2025 14:02,anonymous,,Người Nam Châm ,Jack Canfield và D.D. Watkins,Tâm lý - Giáo dục,NXB Lao động Xã hội
185,8/29/2025 14:02,8/29/2025 14:02,anonymous,,Gián điệp mạng. Cuộc rượt đuổi ngoạn mục trong mê lộ máy tính,Clifford Stoll,Khoa học tự nhiên - Kỹ thuật,NXB Công Thương
186,8/29/2025 14:02,8/29/2025 14:02,anonymous,,thánh địa mỹ sớn,ngô văn doanh,Lịch sử - Địa lý,nxb trẻ
187,8/29/2025 14:02,8/29/2025 14:02,anonymous,,Sương khói quê nhà,Nguyễn Nhật Ánh,Văn học - Tiểu thuyết,NXB trẻ
188,8/29/2025 14:00,8/29/2025 14:02,anonymous,,Vị đắng những chuyến đi xa ,Trần Ngọc Châu ,Hồi ký - Tiểu sử - Tự truyện,NXB Trẻ
189,8/29/2025 14:01,8/29/2025 14:02,anonymous,,Personal Finance for Dummies,Eric Tyson,Kinh tế - Quản trị,WILEY
190,8/29/2025 14:02,8/29/2025 14:03,anonymous,,Liêu trai chí dị,Bồ Tùng linh ,Văn học - Tiểu thuyết,NXB Văn học
191,8/29/2025 14:01,8/29/2025 14:03,anonymous,,"Bánh Mì Thơm, Cà Phê Đắng",Ngô Thị Giáng Uyên,Nghệ thuật - Giải trí,NXB Trẻ
192,8/29/2025 14:02,8/29/2025 14:03,anonymous,,NHÀ TỰ NHIÊN KINH TẾ: TẠI SAO KINH TẾ HỌC CÓ THỂ LÝ GIẢI MỘT ĐIỀU,ROBERT H.FRANK,Kinh tế - Quản trị,NXB TRẺ
193,8/29/2025 14:02,8/29/2025 14:03,anonymous,,Giáo trình lý thuyết và bài tập Java,Trần Tiến Dũng,Khoa học tự nhiên - Kỹ thuật,NXB Lao Động Xã Hội
194,8/29/2025 14:01,8/29/2025 14:03,anonymous,,Junie B. Jones và Chiếc xe buýt bốc mùi ngớ ngẩn,Barbara Park,Văn học - Tiểu thuyết,NXB Hội nhà văn
195,8/29/2025 14:01,8/29/2025 14:03,anonymous,,Cú hích - Nudge,Richard H.Thaler & Cass R. Sunstein,Kinh tế - Quản trị,NXB tổng hợp thành phố Hồ Chí Minh 
196,8/29/2025 14:03,8/29/2025 14:04,anonymous,,bí ẩn về chọn ngày,vương ngọc đức,Triết học - Tôn giáo - Tâm linh,nxb hà nội
197,8/29/2025 14:01,8/29/2025 14:04,anonymous,,Kỷ yếu ngày nhân sự Việt Nam 2011,Pga.ts Lê quân và cộng sự,Kinh tế - Quản trị,Nxb thông tin và truyền thông
198,8/29/2025 14:03,8/29/2025 14:04,anonymous,,Đảo Mộng Mơ,Nguyễn Nhật Ánh,Văn học - Tiểu thuyết,NXB Trẻ
199,8/29/2025 14:03,8/29/2025 14:04,anonymous,,Đối thoại với các nền văn hóa Syria,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ
200,8/29/2025 14:03,8/29/2025 14:04,anonymous,,Chia sẻ tâm hồn và quà tặng cuộc sống,"Jack Canfield, Mark Victor Hansen",Tâm lý - Giáo dục,NXB Tổng hợp TP HCM
201,8/29/2025 14:03,8/29/2025 14:04,anonymous,,Lập trình thiết kế web trong ASP .NET với các ví dụ C#,"Nguyễn Ngọc Tuấn, Hồng Phúc",Khoa học tự nhiên - Kỹ thuật,NXB Thống Kê
202,8/29/2025 14:03,8/29/2025 14:04,anonymous,,THE 7 HABITS HIGHLY EFFECTIVE TEENS,SEAN COVEY,Kỹ năng mềm,TOUCHSTONE
203,8/29/2025 14:03,8/29/2025 14:04,anonymous,,the fine art of the big talk,Debra Fine,Kinh tế - Quản trị,NXB lao động
204,8/29/2025 14:04,8/29/2025 14:04,anonymous,,Quán Gò Đi Lên,Nguyễn Nhật Ánh,Văn học - Tiểu thuyết,NXB Trẻ
205,8/29/2025 14:04,8/29/2025 14:04,anonymous,,Đối thoại với các nền văn hóa Brazil,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ
206,8/29/2025 14:03,8/29/2025 14:05,anonymous,,Love or Money?,ROWENA AKINYEMI,Văn học - Tiểu thuyết,NXB Đồng Nai
207,8/29/2025 14:03,8/29/2025 14:05,anonymous,,Tôi nghĩ tôi thích nước Mỹ,Dương Thụy,Văn học - Tiểu thuyết,NXB Trẻ
208,8/29/2025 14:04,8/29/2025 14:05,anonymous,,phong thuỷ huyền không phi tinh,elizabeth moran,Triết học - Tôn giáo - Tâm linh,nxb lao động xã hội
209,8/29/2025 14:04,8/29/2025 14:05,anonymous,,Đối thoại với các nền văn hóa Cameroon,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ
210,8/29/2025 14:04,8/29/2025 14:06,anonymous,,Ai lấy miếng pho mát của tôi,Spencer Johnson,Tâm lý - Giáo dục,NXB Tổng hợp TP HCM 
211,8/29/2025 14:04,8/29/2025 14:06,anonymous,,Lối sống tối giản của người Nhật,Sasaki Fumio,Kỹ năng mềm,NXB lao động
212,8/29/2025 14:05,8/29/2025 14:06,anonymous,,Đối thoại với các nền văn hóa Afghanistan,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ
213,8/29/2025 14:05,8/29/2025 14:06,anonymous,,Bí mật của nước,howard murad,Y học - Sức khỏe - Thể thao,nxb lao động
214,8/29/2025 14:04,8/29/2025 14:06,anonymous,,Java concurrency in practice,Brian Goetz,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
215,8/29/2025 14:05,8/29/2025 14:06,anonymous,,Mùa hè năm Petrus,Lê Văn Nghĩa,Văn học - Tiểu thuyết,NXB Trẻ
216,8/29/2025 14:06,8/29/2025 14:06,anonymous,,Đối thoại với các nền văn hóa Myanmar,Trịnh Huy Hóa ,Văn học - Tiểu thuyết,NXB Trẻ
217,8/29/2025 14:06,8/29/2025 14:06,anonymous,,bí mật của nước,howard murad,Y học - Sức khỏe - Thể thao,nxb lao động
218,8/29/2025 14:06,8/29/2025 14:06,anonymous,,Fundamentals of marketing ,MDIS,Học liệu,MDIS
219,8/29/2025 14:05,8/29/2025 14:06,anonymous,,Tập Viết Chữ Hoa,Đỗ Chiêu Đức,Ngoại ngữ,NXB Trẻ
220,8/29/2025 14:06,8/29/2025 14:07,anonymous,,Đối thoại với các nền văn hóa Yemen,Trịnh Huy Hoá,Văn học - Tiểu thuyết,NXB Trẻ
221,8/29/2025 14:05,8/29/2025 14:07,anonymous,,Azit Nexin: Tuyển Chọn Truyện Ngắn,Nhiều tác giả (Nam Hà tuyển chọn),Văn học - Tiểu thuyết,NXB Lao Động
222,8/29/2025 14:06,8/29/2025 14:07,anonymous,,Đồ Tể,Nguyễn Trí,Văn học - Tiểu thuyết,NXB Trẻ
223,8/29/2025 14:06,8/29/2025 14:07,anonymous,,Dám thất bại ,Billi P.S.Lim ,Tâm lý - Giáo dục,NXB Trẻ
224,8/29/2025 14:07,8/29/2025 14:07,anonymous,,Đối thoại với các nền văn hóa Pakistan,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ
225,8/29/2025 14:06,8/29/2025 14:07,anonymous,,Management of human resouce & the practice of management,MDIS,Học liệu,MDIS
226,8/29/2025 14:07,8/29/2025 14:07,anonymous,,Đối thoại với các nền văn hóa Lebanon,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ
227,8/29/2025 14:06,8/29/2025 14:07,anonymous,,Xin chào ấn độ,hồ anh thái,Lịch sử - Địa lý,nxb văn nghệ
228,8/29/2025 14:06,8/29/2025 14:08,anonymous,,Long Hot Summer,K.S.Rodriguez,Văn học - Tiểu thuyết,NXB Đồng Nai
229,8/29/2025 14:06,8/29/2025 14:08,anonymous,,60h trị mất gốc tiếng anh ,Pasal,Ngoại ngữ,Nxb hồng đức 
230,8/29/2025 14:03,8/29/2025 14:08,anonymous,,Tâm huyết trao đời ,Nguyễn Ngọc Ký,Hồi ký - Tiểu sử - Tự truyện,NXB Tổng hợp TP.HCM
231,8/29/2025 14:06,8/29/2025 14:08,anonymous,,Chuyện phần mềm 2.0,FPT Software,Other,NXB Lao Động Xã Hội
232,8/29/2025 14:07,8/29/2025 14:08,anonymous,,Điều Bí Mật Khủng Khiếp,Stefan Zweig,Văn học - Tiểu thuyết,NXB Hội Nhà Văn
233,8/29/2025 14:08,8/29/2025 14:08,anonymous,,LEARN & PRACTICE VIETNAMESE,LÊ KHÁNH VY,Ngoại ngữ,NXB TỔNG HỢP TPHCM
234,8/29/2025 14:08,8/29/2025 14:09,anonymous,,Bài học diệu kì từ chiếc xe rác,David J. Pollay,Tâm lý - Giáo dục,NXB Tổng hợp TPHCM
235,8/29/2025 14:08,8/29/2025 14:09,anonymous,,Người Đan Chữ Xếp Thuyền,Miura Shion,Văn học - Tiểu thuyết,NXB Thế Giowia
236,8/29/2025 14:07,8/29/2025 14:09,anonymous,,Điểm Mù (Blind Spots),"Max H. Bazerman, Ann E. Tenbrunsel",Kinh tế - Quản trị,NXB Thanh Niên
237,8/29/2025 14:09,8/29/2025 14:09,anonymous,,Tự đào giếng trước khi chết khát,Harvey mackay,Kinh tế - Quản trị,Nxb đại học kinh tế quốc dân
238,8/29/2025 14:07,8/29/2025 14:10,anonymous,,Cambridge Ielts 2 with answer ediion,University of Cambridge local examinations syndicate,Ngoại ngữ,NXB thống kê
239,8/29/2025 14:09,8/29/2025 14:10,anonymous,,Nhân tố Enzyme - Trẻ hoá,Hiromi Shinya,Y học - Sức khỏe - Thể thao,NXB Thế Giới
240,8/29/2025 14:09,8/29/2025 14:10,anonymous,,Cho tôi xin một vé đi tuổi thơ,Nguyễn Nhật Ánh,Văn học - Tiểu thuyết,NXB Trẻ
241,8/29/2025 14:09,8/29/2025 14:10,anonymous,,DEVELOPING SKILLS FOR THE TOEIC TEST,"PAUL EDMUNDS, ANNE TAYLOR",Ngoại ngữ,FIRST NEWS
242,8/29/2025 14:08,8/29/2025 14:10,anonymous,,Người thông minh giải quyết vấn đề như thế nào,Ken Watanabe,Kỹ năng mềm,NXB trẻ
243,8/29/2025 14:08,8/29/2025 14:10,anonymous,,Tiếng ve mùa hạ cũ ,Từ Kế Tường ,Văn học - Tiểu thuyết,NXB Mỹ Thuật 
244,8/29/2025 14:09,8/29/2025 14:10,anonymous,,chuyện phiêu lưu của mít đặc và các bạn,ni cô lai nô xốp,Văn học - Tiểu thuyết,nxb đông á
245,8/29/2025 14:08,8/29/2025 14:10,anonymous,,Thắp Lửa Tâm Linh,Minh Đức Triều Tâm Ảnh,Triết học - Tôn giáo - Tâm linh,NXB Thời Đại
246,8/29/2025 14:10,8/29/2025 14:11,anonymous,,Tất cả đều là chuyện nhỏ,Richard Carlson,Tâm lý - Giáo dục,NXB Tổng hợp TPHCM
247,8/29/2025 14:10,8/29/2025 14:11,anonymous,,Cambridge Ielts 3 with answers edition,University of Cambridge Local Examinations syndicate,Ngoại ngữ,NXB thống kê
248,8/29/2025 14:10,8/29/2025 14:11,anonymous,,Làm sao biết mưa về ,Từ Kế Tường ,Văn học - Tiểu thuyết,NXB Mỹ Thuật
249,8/29/2025 14:11,8/29/2025 14:11,anonymous,,Khi hơi thở hoá thinh không,paul kalanithi,Y học - Sức khỏe - Thể thao,nxb lao động
250,8/29/2025 14:11,8/29/2025 14:11,anonymous,,10 điều tạo nên số phận,David Simon,Tâm lý - Giáo dục,NXB Tổng hợp TPHCM
251,8/29/2025 14:09,8/29/2025 14:11,anonymous,,Người Đàn Ông Mang Tên Ove,Fredrik Backman,Văn học - Tiểu thuyết,NXB Trẻ
252,8/29/2025 14:11,8/29/2025 14:12,anonymous,,Mùa thu bay mưa ,Từ Kế Tường ,Văn học - Tiểu thuyết,NXB Mỹ Thuật 
253,8/29/2025 14:10,8/29/2025 14:12,anonymous,,Time Tested. Tesing Improved,RBCS,Khoa học tự nhiên - Kỹ thuật,RBCS
254,8/29/2025 14:11,8/29/2025 14:12,anonymous,,Cambridge ielts 4 with answer edition,University of Cambridge Local Examinations syndicate,Ngoại ngữ,NXB thống kê
255,8/29/2025 14:12,8/29/2025 14:12,anonymous,,Time Tested. Tesing Improved,RBCS,Khoa học tự nhiên - Kỹ thuật,RBCS
256,8/29/2025 14:10,8/29/2025 14:12,anonymous,,Thời đại ý tưởng và thành công,Nguyễn Thành Sinh,Lịch sử - Địa lý,NXB Tổng hợp TP. Hồ Chí Minh
257,8/29/2025 14:11,8/29/2025 14:12,anonymous,,khi hơi thoẻ hoá tinh không,paul kalanithi,Y học - Sức khỏe - Thể thao,nxb lao động
258,8/29/2025 14:10,8/29/2025 14:12,anonymous,,Dặm Dài Đã Qua (A long way gone: Memoirs of a boy soldier),Ishmael Beah,Hồi ký - Tiểu sử - Tự truyện,NXB Văn hóa - Thông tin
259,8/29/2025 14:11,8/29/2025 14:12,anonymous,,Công dân toàn cầu - Công dân vũ trụ,Phan Văn Trường,Tâm lý - Giáo dục,NXB Trẻ
260,8/29/2025 14:10,8/29/2025 14:12,anonymous,,NEW INSIDE OUT,SUE KAY & VAUGHAN JONES,Ngoại ngữ,MACMILLAN
261,8/29/2025 14:12,8/29/2025 14:12,anonymous,,Cambridge ielts 5 with answer edition,University of Cambridge Local Examinations syndicate,Ngoại ngữ,NXB thống kê
262,8/29/2025 14:11,8/29/2025 14:12,anonymous,,Người dám cho đi,Bor burg & john david mann,Kinh tế - Quản trị,Nxb trẻ
263,8/29/2025 14:12,8/29/2025 14:13,anonymous,,Miền Thơ Ấu,Vũ Thu Hiền,Văn học - Tiểu thuyết,NXB Đà Nẵng
264,8/29/2025 14:12,8/29/2025 14:13,anonymous,,Thư của bà vợ gửi cho bồ nhí,Lê Hoàng,Văn học - Tiểu thuyết,NXB Trẻ
265,8/29/2025 14:12,8/29/2025 14:13,anonymous,,The adventure of Tom Sawyer,Mark Twain,Văn học - Tiểu thuyết,NXB Đồng Nai
266,8/29/2025 14:11,8/29/2025 14:13,anonymous,,Kịch Bản Sân Khấu,Nguyễn Thanh Hùng,Văn học - Tiểu thuyết,Trung Tâm Văn hóa Thành phố Hồ Chí Minh
267,8/29/2025 14:12,8/29/2025 14:13,anonymous,,"Tin tôi đi, tôi đang nói dối đấy!",Ryan Holiday,Kinh tế - Quản trị,NXB thế giới
268,8/29/2025 14:12,8/29/2025 14:14,anonymous,,ENGLISH GRAMMAR IN USE ,RAYMOND MURPHY,Ngoại ngữ,CAMBRIDGE
269,8/29/2025 14:12,8/29/2025 14:14,anonymous,,trai nước nam làm gì,hoàng đạo thuý,Văn học - Tiểu thuyết,nxb hà nội
270,8/29/2025 14:12,8/29/2025 14:14,anonymous,,Phong cách bán hàng zig ziglar,Zig ziglar,Kinh tế - Quản trị,Nxb lao động - xã hội
271,8/29/2025 14:13,8/29/2025 14:14,anonymous,,Thằng quỷ nhỏ ,Nguyễn Nhật Ánh ,Văn học - Tiểu thuyết,NXB Trẻ
272,8/29/2025 14:12,8/29/2025 14:14,anonymous,,Chúng ta từ số 289 đến số 335,FPT,Other,FPT
273,8/29/2025 14:12,8/29/2025 14:14,anonymous,,Đàm thoại tiếng Nhật ,Midori Iwasawa ,Ngoại ngữ,NXB ĐH Sư phạm TpHCM
274,8/29/2025 14:14,8/29/2025 14:14,anonymous,,Chúng ta từ số 289 đến số 335,FPT,Other,FPT
275,8/29/2025 14:14,8/29/2025 14:14,anonymous,,LES MISERABLES: NHỮNG NGƯỜI KHỐN KHỔ,VICTOR HUGO,Ngoại ngữ,NXB TỔNG HỢP TPHCM
276,8/29/2025 14:14,8/29/2025 14:14,anonymous,,Sử ký 20 năm,FPT,Other,FPT
277,8/29/2025 14:14,8/29/2025 14:15,anonymous,,thư viện linh hồn - tập 3 của trại trẻ đặc biêt của cô peregrine,ransom riggs,Văn học - Tiểu thuyết,nxb văn học
278,8/29/2025 14:14,8/29/2025 14:15,anonymous,,Cuộc sống tươi đẹp,Michael Heppell,Tâm lý - Giáo dục,NXB Lao động - Xã hội
279,8/29/2025 14:13,8/29/2025 14:15,anonymous,,Tiếng nhật cho mọi người,3A Network,Ngoại ngữ,NXB trẻ
280,8/29/2025 14:13,8/29/2025 14:15,anonymous,,Trên Con Đường Tơ Lụa Nam Á,Nguyễn Chí Linh,Hồi ký - Tiểu sử - Tự truyện,NXB Thế Giới
281,8/29/2025 14:14,8/29/2025 14:15,anonymous,,Thư của bà vợ gửi cho bồ nhí,Lê Hoàng,Văn học - Tiểu thuyết,NXB Trẻ
282,8/29/2025 14:14,8/29/2025 14:15,anonymous,,Chiến lược đại dương xanh,W.chan kim - renee mauborge,Kinh tế - Quản trị,Nxb lao động
283,8/29/2025 14:15,8/29/2025 14:15,anonymous,,đồi gió hú,emily bronte,Văn học - Tiểu thuyết,nxb văn học
284,8/29/2025 14:15,8/29/2025 14:16,anonymous,,Khách sạn Hoa Hồng,Nguyễn Nhật Ánh,Văn học - Tiểu thuyết,NXB Kim Đồng
285,8/29/2025 14:15,8/29/2025 14:16,anonymous,,không gục ngã,nguyễn bích lan,Hồi ký - Tiểu sử - Tự truyện,nxb hội nhà văn
286,8/29/2025 14:14,8/29/2025 14:16,anonymous,,khác biệt để bứt phá,Jason Fried & David Heinemeier Hansson,Kỹ năng mềm,NXB Tổng hợp Thành phố Hồ Chí Minh
287,8/29/2025 14:15,8/29/2025 14:16,anonymous,,SỨC MẠNH CỦA THÓI QUEN,CHARLES DUHIGG,Kỹ năng mềm,NXB LAO ĐỘNG - XÃ HỘI; ALPHABOOKS
288,8/29/2025 14:15,8/29/2025 14:16,anonymous,,Chuyện tào lao [Về kẻ quấy rối và chồng cô ta],Nguyễn Ngọc Thuận ,Văn học - Tiểu thuyết,NXB Trẻ
289,8/29/2025 14:15,8/29/2025 14:17,anonymous,,Oxford Business English Dictionary for Learners of English,Dilys Parkinson ,Ngoại ngữ,Oxford University Press
290,8/29/2025 14:16,8/29/2025 14:17,anonymous,,Nhân văn và kinh tế tình và tiền trong quản trị kinh doanh,Tôn thất nguyễn thiêm,Kinh tế - Quản trị,Nxb trẻ
291,8/29/2025 14:16,8/29/2025 14:17,anonymous,,The Godfather,Mario Puzo,Văn học - Tiểu thuyết,NXB Đông Á
292,8/29/2025 14:16,8/29/2025 14:17,anonymous,,Điểm Dối Lừa (Deception Point),Dan Brown,Văn học - Tiểu thuyết,NXB Văn hóa - Thông tin
293,8/29/2025 14:16,8/29/2025 14:17,anonymous,,thư của trứng cà gửi chứng khoán,lê hoàng,Other,nxb trẻ
294,8/29/2025 14:16,8/29/2025 14:17,anonymous,,Chúa Biết Sự Thật Nhưng Chẳng Nói Ngay,Lev Tolsoy,Văn học - Tiểu thuyết,NXB Văn Học
295,8/29/2025 14:17,8/29/2025 14:17,anonymous,,Intermediate composition practice  ,Linda Lonon Blanton,Ngoại ngữ,NXB Thành phố Hồ Chí Minh
296,8/29/2025 14:17,8/29/2025 14:17,anonymous,,Chuyện phần mềm 2.0 tập 1,FPT Software,Other,FPT Software
297,8/29/2025 14:15,8/29/2025 14:18,anonymous,,Bí mật của may mắn,Alex Rovira,Kỹ năng mềm,NXB tổng hợp thành phố Hồ Chí Minh 
298,8/29/2025 14:17,8/29/2025 14:18,anonymous,,Nghệ thuật tinh tế của việc đếch quan tâm,Mark Manson,Kỹ năng mềm,NXB Văn học
299,8/29/2025 14:17,8/29/2025 14:18,anonymous,,thư của trứng cà gửi chứng khoán,lê hoàng,Other,nxb trẻ
300,8/29/2025 14:17,8/29/2025 14:18,anonymous,,Chuyện phần mềm 2.0 tập 1,FPT Software,Other,NXB Lao Động Xã Hội
301,8/29/2025 14:17,8/29/2025 14:18,anonymous,,Tâm lý khách hàng và nghệ thuật phục vụ 5 sao,Bùi xuân phong,Kinh tế - Quản trị,Nhà xuất bản lao động
302,8/29/2025 14:17,8/29/2025 14:18,anonymous,,Hừng Đông ,Stephenie Meyer,Văn học - Tiểu thuyết,NXB Trẻ
303,8/29/2025 14:17,8/29/2025 14:18,anonymous,,Tạo Đựng Sự Khác Biệt ,John C. Maxwell,Kỹ năng mềm,NXB Lao Động
304,8/29/2025 14:18,8/29/2025 14:19,anonymous,,lá nằm tròn lá,nguyễn nhật ánh,Văn học - Tiểu thuyết,nxb trẻ
305,8/29/2025 14:18,8/29/2025 14:19,anonymous,,Trong chớp mắt - Blink,Malcolm Gladwell,Tâm lý - Giáo dục,NXB Thế giới
306,8/29/2025 14:18,8/29/2025 14:19,anonymous,,Mục đích cao hơn tất cả ,Nguyễn Đức Thuận,Tâm lý - Giáo dục,NXB thanh niên
307,8/29/2025 14:19,8/29/2025 14:19,anonymous,,Ted talks ,Chris anderson,Kỹ năng mềm,Nxb thế giới
308,8/29/2025 14:19,8/29/2025 14:19,anonymous,,cuộc chiến vì sức khoẻ,biswasroop roy chowdhury,Y học - Sức khỏe - Thể thao,nxb thông tấn
309,8/29/2025 14:18,8/29/2025 14:20,anonymous,,Tư Duy Tích Cực Tạo Thành Công,W. Clement Stone,Kỹ năng mềm,NXB Tổng hợp Thành phố Hồ Chí Minh
310,8/29/2025 14:19,8/29/2025 14:20,anonymous,,Sức mạnh của sự tử tế,Linda Kaplan Thaler & Ronbin Koval,Kinh tế - Quản trị,NXB thế giới
311,8/29/2025 14:19,8/29/2025 14:20,anonymous,,Phụ nữ lãnh đạo bằng yêu thương,David Devin,Tâm lý - Giáo dục,NXB Phụ nữ
312,8/29/2025 14:18,8/29/2025 14:20,anonymous,,How to write like Tolstoy,Richard Cohen,Hồi ký - Tiểu sử - Tự truyện,NXB OneWorld
313,8/29/2025 14:17,8/29/2025 14:20,anonymous,,Chuyện Ngài Hộ Nhãn (Cakkhupalathera),Phra Mahapranom Dhammalankaro,Triết học - Tôn giáo - Tâm linh,NXB Thuận Hóa
314,8/29/2025 14:20,8/29/2025 14:20,anonymous,,KANJI DICTIONARY,Japan Kanji Aptitude Testing Foundation,Ngoại ngữ,Japan Kanji Aptitude Testing Foundation
315,8/29/2025 14:20,8/29/2025 14:21,anonymous,,20 giờ đầu tiên,Josh Kaufman,Tâm lý - Giáo dục,NXB lao động - xã hội
316,8/29/2025 14:20,8/29/2025 14:21,anonymous,,cuộc chiến vì sức khoẻ,biswaroop roy chowdhury,Y học - Sức khỏe - Thể thao,nxb thông tấn
317,8/29/2025 14:20,8/29/2025 14:21,anonymous,,Talk like ted,Carmine gallo,Kỹ năng mềm,Nxb phụ nữ
318,8/29/2025 14:20,8/29/2025 14:21,anonymous,,Mỗi ngày tiết kiệm một giờ,Michael Heppell,Tâm lý - Giáo dục,NXB Trẻ
319,8/29/2025 14:20,8/29/2025 14:21,anonymous,,Tuần Làm Việc 4 Giờ,Timothy Ferriss,Kỹ năng mềm,NXB Lao động - Xã hội
320,8/29/2025 14:21,8/29/2025 14:21,anonymous,,cuộc chiến vì sức khoẻ,biswaroop rot chowdhury,Y học - Sức khỏe - Thể thao,nxb thông tấn
321,8/29/2025 14:21,8/29/2025 14:22,anonymous,,Lời nói dối vĩ đại của não ,Kelly Mcgonigal ,Tâm lý - Giáo dục,NXB lao động
322,8/29/2025 14:21,8/29/2025 14:22,anonymous,,Hoàn thành mọi việc không hề khó,David Allen,Tâm lý - Giáo dục,NXB Lao Động
323,8/29/2025 14:20,8/29/2025 14:22,anonymous,,The promise ,R.L.Scott-Buccleuch,Văn học - Tiểu thuyết,NXB Đồng Nai
324,8/29/2025 14:19,8/29/2025 14:22,anonymous,,Khi hơi thở hóa thinh không ,Paul Kalanithi,Hồi ký - Tiểu sử - Tự truyện,NXB Lao động 
325,8/29/2025 14:21,8/29/2025 14:22,anonymous,,365 chuyện kể đi ngủ,ngọc linh,Other,nxb thế giới
326,8/29/2025 14:22,8/29/2025 14:22,anonymous,,Sức mạnh của thói quen ,Charles Duhigg,Tâm lý - Giáo dục,NXB lao động - xã hội 
327,8/29/2025 14:20,8/29/2025 14:22,anonymous,,Điệp viên của Chúa,Juan Gomez-Jurado,Văn học - Tiểu thuyết,NXB Văn hóa - Thông tin
328,8/29/2025 14:22,8/29/2025 14:22,anonymous,,Những bí quyết làm giàu nổi tiếng ,Auger. Mandeno,Kinh tế - Quản trị,NXB Lao Động
329,8/29/2025 14:22,8/29/2025 14:23,anonymous,,hỏi bác sĩ nhi đồng,trương hữu khanh,Y học - Sức khỏe - Thể thao,nxb thế giới
330,8/29/2025 14:21,8/29/2025 14:23,anonymous,,Nghệ thuật giao tiếp thông minh,Vietbook,Kỹ năng mềm,Nxb văn hoá thông tin
331,8/29/2025 14:23,8/29/2025 14:23,anonymous,,Social Behavioral Science,MDIS,Học liệu,MDIS
332,8/29/2025 14:22,8/29/2025 14:23,anonymous,,Nhật ký bí mật của Chúa,Raymond Khoury,Văn học - Tiểu thuyết,NXB Văn hóa Sài Gòn
333,8/29/2025 14:23,8/29/2025 14:23,anonymous,,cách nuôi dạy một đứa trẻ,nobuyoshi hirai,Tâm lý - Giáo dục,nxb lao động
334,8/29/2025 14:22,8/29/2025 14:23,anonymous,,Người thành công có 1% cách nghĩ khác bạn,Chu Châu Bân,Tâm lý - Giáo dục,NXB Văn hoá Thông tin
335,8/29/2025 14:22,8/29/2025 14:24,anonymous,,Phi lý một cách Hợp lý,Dan Ariely,Kỹ năng mềm,NXB Thế giới
336,8/29/2025 14:22,8/29/2025 14:24,anonymous,,NHÀ ĐÀO TẠO SÀNH SỎI,ĐỖ HUÂN,Kinh tế - Quản trị,NXB LAO ĐỘNG
337,8/29/2025 14:22,8/29/2025 14:24,anonymous,,Now Discover Your strengths,Marcus Buckingham,Tâm lý - Giáo dục,NXB The international Bestseller
338,8/29/2025 14:24,8/29/2025 14:24,anonymous,,Principles of business management I,MDIS,Học liệu,MDIS
